title,link,saleprice,reviews
"HP Pavilion (2021) Thin & Light 11th Gen Core i5 Laptop, 16 GB RAM, 512GB SSD, Iris Xe Graphics, 14-inch (35.56 cms) FHD Screen, Win 10, MS Office, Backlit Keyboard, Ceramic White (14-dv0053TU)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A03122132M6BV39E18XO1&url=%2FHP-Pavilion-Graphics-Keyboard-14-dv0053TU%2Fdp%2FB08WB8686H%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1629896583%26sr%3D8-27-spons%26psc%3D1&qualifier=1629896583&id=3487114363861888&widgetName=sp_mtf,"66,990",4.4 out of 5 stars
"Lenovo IdeaPad Slim 3 2021 Intel Core i5 11th Gen 14"" (35.56cm) FHD IPS Thin & Light Laptop (8GB/512GB SSD/Windows 10/MS Office/Backlit/Fingerprint Reader/2 Yr Warranty/Arctic Grey/1.41kg), 82H700KTIN",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A05453562B6S92V327RWJ&url=%2FLenovo-IdeaPad-Fingerprint-Warranty-82H700KTIN%2Fdp%2FB096SKD3V7%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1629896583%26sr%3D8-28-spons%26psc%3D1&qualifier=1629896583&id=3487114363861888&widgetName=sp_mtf,"59,990",4.0 out of 5 stars
"HP Notebook PC 245 G7 14"" (35.56cms) Laptop ATHLON-3050U/4GB/1TB/Windows 10 Home/ 1 Year Warranty (21Z04PA)",/HP-Notebook-245-G7-ATHLON-3050U/dp/B08TBVBKN5/ref=sr_1_29?dchild=1&keywords=laptops&qid=1629896583&sr=8-29,"29,593",3.5 out of 5 stars
"ASUS VivoBook 14 Intel Core i3-10110U 10th Gen 14-inch FHD Compact and Light Laptop (4GB RAM/1TB HDD/Windows 10/Integrated Graphics/Slate Grey/1.60 kg), X409FA-EK617T",/ASUS-VivoBook-i3-10110U-Integrated-X409FA-EK617T/dp/B09C8RD7BM/ref=sr_1_30?dchild=1&keywords=laptops&qid=1629896583&sr=8-30,"34,988",5.0 out of 5 stars
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6"" (39.63cm) FHD Thin & Light Laptop (4GB/256GB SSD/Windows 10/MS Office/Intel UHD Graphics/2 Year Warranty/Platinum Grey/1.7Kg), 81WB0158IN",/Lenovo-Graphics-Warranty-Platinum-81WB0158IN/dp/B0999C7769/ref=sr_1_31?dchild=1&keywords=laptops&qid=1629896583&sr=8-31,"36,990",4.0 out of 5 stars
"AVITA Essential Refresh NE14A2INC44A-MB 14-inch/35.56 cm(Intel Celeron-N4020/4GB/256GB SSD/Windows 10 Home/FHD/Integrated Graphics),Matt Black",/AVITA-Essential-NE14A2INC44A-MB-Celeron-N4020-Integrated/dp/B08YR9DDVZ/ref=sr_1_32?dchild=1&keywords=laptops&qid=1629896583&sr=8-32,"23,990",3.6 out of 5 stars
"AVITA Essential Refresh NE14A2INC44A-MW 14-inch/35.56 cm(Intel Celeron-N4020/4GB/256GB SSD/Windows 10 Home/FHD/Integrated Graphics), Matt White",/AVITA-Essential-NE14A2INC44A-MW-Celeron-N4020-Integrated/dp/B08YRFDN62/ref=sr_1_33?dchild=1&keywords=laptops&qid=1629896583&sr=8-33,"22,600",3.6 out of 5 stars
"RDP ThinBook 1010 - Intel Celeron Quad Core Processor, 4GB RAM, 64GB Storage, Windows 10 Pro, 14.1” HD Screen",/RDP-ThinBook-1010-Celeron-Processor/dp/B0924PSV78/ref=sr_1_34?dchild=1&keywords=laptops&qid=1629896583&sr=8-34,"19,990",3.6 out of 5 stars
"AVITA Essential Refresh NE14A2INC43A-MB 14-inch/35.56 cm(Intel Celeron-N4020/4GB/128GB SSD/Windows 10 Home/FHD/Integrated Graphics), Matt Black",/AVITA-Essential-NE14A2INC43A-MB-Celeron-N4020-Integrated/dp/B08YRNPTM2/ref=sr_1_35?dchild=1&keywords=laptops&qid=1629896583&sr=8-35,"21,480",4.0 out of 5 stars
"(Renewed) Dell Latitude 6520 Core i5 2nd Gen | 4Gb Ram | 320 Gb Hdd | 15.6"" True View Led Screen| Numeric Keypad | Wifi | Webcam | Windows 10 | Charger",/Renewed-Dell-Latitude-Numeric-Windows/dp/B09C8Y45XH/ref=sr_1_36?dchild=1&keywords=laptops&qid=1629896583&sr=8-36,0,0
